證交所新聞
"標題","連結","日期"
"臺灣證券交易所對嘉里大榮物流股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017a9a1d9b810005","110年07月12日"
"2021年6月暨第二季集中市場相關數據","https://www.twse.com.tw/zh/news/newsDetail/ff8080817a99cef0017a99e0026a0001","110年07月12日"
"臺灣證券交易所對凱美電機股份有限公司違反重大訊息規定，處以新台幣3萬元違約金","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a9979b2420232","110年07月12日"
"上週外資在集中市場賣超450.00億元，賣超群創9.65萬張最多，另買超永豐金3.66萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a98bdd3f2022c","110年07月12日"
"臺灣證券交易所對淳安電子股份有限公司違反重大訊息規定，處以新台幣3萬元違約金。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a8acfe4460227","110年07月09日"
"本週發行量加權股價指數跌幅約為0.27%，上市股票總市值達54.11兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a8a61d8e10223","110年07月09日"
"「博大科技股份有限公司」國內第一次無擔保轉換公司債（證券代號：81091）採競價拍賣方式辦理承銷，於今(7/9)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a8a54113a021f","110年07月09日"
"富邦投信申請「NYSE FactSet全球基因免疫生技指數(NYSE? FactSet? Global Genomics and Immuno Biopharma Index)」資格認可","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a8532952d0213","110年07月08日"
"「長華科技股份有限公司」國內第一次有擔保轉換公司債（證券代號：65481）採競價拍賣方式辦理承銷，於今(7/8)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a84d9fbfc020f","110年07月08日"
"永豐餘消費品實業股份有限公司申報初次上市前公開銷售之現金增資發行普通股案申報生效","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a804fc679020b","110年07月07日"
"全體上市公司至遲應於112年6月30日前完成設置公司治理主管","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a7b59e83f01de","110年07月06日"
"證交所「認識臺灣創新板 (TIB) 」有獎徵答活動開跑，天天送、週週抽超商禮券，驚喜好禮?不完！","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a7b08bfe501da","110年07月06日"
"110年7月6日除息影響加權股價指數","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a7624903801d2","110年07月05日"
"宜新實業(股)公司於110年7月5日送件申請股票上市","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a7606408301cc","110年07月05日"
"上週外資在集中市場賣超264.93億元，賣超長榮6.81萬張最多，另買超群創5.55萬張最多","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a74cce06301c8","110年07月05日"
"臺灣證券交易所針對英瑞國際股份有限公司（英瑞-KY，公司代號: 1592）違反重大訊息及資訊申報規定，處以新臺幣5萬元之違約金。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a669c216f01c2","110年07月02日"
"本週發行量加權股價指數漲幅約為1.18%，上市股票總市值達54.19兆元。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a665c4eba01bd","110年07月02日"
"上市公司執行買回庫藏股情形","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a6132633f01b6","110年07月01日"
"110年截至6月底權證發行與交易統計","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a6128350b01b2","110年07月01日"
"110年6月份權證發行與交易統計","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a6121b23901ae","110年07月01日"
"「連宇股份有限公司」國內第二次有擔保轉換公司債（證券代號：24822）採競價拍賣方式辦理承銷，於今(7/1)日順利完成。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a611b25a201aa","110年07月01日"
"威鋒電子自本（110）年7月2日起得為融資融券交易","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a61154edc01a6","110年07月01日"
"110年第3季得為上市認購（售）權證（含牛熊證）之標的證券","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5c6fac8701a0","110年06月30日"
"奇力新電子股份有限公司(奇力新，公司代號：2456)上市普通股及以其為標的之上市認購(售)權證自110年7月1日起恢復交易。","https://www.twse.com.tw/zh/news/newsDetail/ff80808179a6ff84017a5c499c4d019b","110年06月30日"
